from_station_code,to_station_code,time_minutes,event_type_code,created_at,updated_at
TOKYU_V2_AOBADAI,TOKYU_V2_TANA,2,TOKYU_V2,,
TOKYU_V2_AOBADAI,TOKYU_V2_FUJIGAOKA,1,TOKYU_V2,,
TOKYU_V2_AZAMINO,TOKYU_V2_EDA,2,TOKYU_V2,,
TOKYU_V2_AZAMINO,TOKYU_V2_TAMAPLAZA,1,TOKYU_V2,,
TOKYU_V2_BASHAMICHI,TOKYU_V2_NIHONODORI,2,TOKYU_V2,,
TOKYU_V2_BASHAMICHI,TOKYU_V2_MINATOMIRAI,2,TOKYU_V2,,
TOKYU_V2_CHIDORICHO,TOKYU_V2_IKEGAMI,2,TOKYU_V2,,
TOKYU_V2_CHIDORICHO,TOKYU_V2_KUGAHARA,1,TOKYU_V2,,
TOKYU_V2_CHUORINKAN,TOKYU_V2_TSUKIMINO,2,TOKYU_V2,,
TOKYU_V2_DAIKANYAMA,TOKYU_V2_NAKAMEGURO,2,TOKYU_V2,,
TOKYU_V2_DAIKANYAMA,TOKYU_V2_SHIBUYA,2,TOKYU_V2,,
TOKYU_V2_DENENCHOFU,TOKYU_V2_TAMAGAWA,2,TOKYU_V2,,
TOKYU_V2_DENENCHOFU,TOKYU_V2_JIYUGAOKA,2,TOKYU_V2,,
TOKYU_V2_DENENCHOFU,TOKYU_V2_OKUSAWA,2,TOKYU_V2,,
TOKYU_V2_EBARAMACHI,TOKYU_V2_HATANODAI,2,TOKYU_V2,,
TOKYU_V2_EBARAMACHI,TOKYU_V2_NAKANOBU,1,TOKYU_V2,,
TOKYU_V2_EBARANAKANOBU,TOKYU_V2_HATANODAI,1,TOKYU_V2,,
TOKYU_V2_EBARANAKANOBU,TOKYU_V2_TOGOSHIGINZA,2,TOKYU_V2,,
TOKYU_V2_EDA,TOKYU_V2_ICHIGAO,2,TOKYU_V2,,
TOKYU_V2_EDA,TOKYU_V2_AZAMINO,2,TOKYU_V2,,
TOKYU_V2_FUDOMAE,TOKYU_V2_MUSASHIKOYAMA,1,TOKYU_V2,,
TOKYU_V2_FUDOMAE,TOKYU_V2_MEGURO,2,TOKYU_V2,,
TOKYU_V2_FUJIGAOKA,TOKYU_V2_AOBADAI,1,TOKYU_V2,,
TOKYU_V2_FUJIGAOKA,TOKYU_V2_ICHIGAO,2,TOKYU_V2,,
TOKYU_V2_FUTAKOSHINCHI,TOKYU_V2_TAKATSU,1,TOKYU_V2,,
TOKYU_V2_FUTAKOSHINCHI,TOKYU_V2_FUTAKOTAMAGAWA,2,TOKYU_V2,,
TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_FUTAKOSHINCHI,2,TOKYU_V2,,
TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_YOGA,3,TOKYU_V2,,
TOKYU_V2_FUTAKOTAMAGAWA,TOKYU_V2_KAMINOGE,2,TOKYU_V2,,
TOKYU_V2_GAKUGEIDAIGAKU,TOKYU_V2_TORITSUDAIGAKU,2,TOKYU_V2,,
TOKYU_V2_GAKUGEIDAIGAKU,TOKYU_V2_YUTENJI,2,TOKYU_V2,,
TOKYU_V2_GOTANDA,TOKYU_V2_OSAKIHIROKOJI,2,TOKYU_V2,,
TOKYU_V2_HAKURAKU,TOKYU_V2_HIGASHIHAKURAKU,2,TOKYU_V2,,
TOKYU_V2_HAKURAKU,TOKYU_V2_MYORENJI,2,TOKYU_V2,,
TOKYU_V2_HASUNUMA,TOKYU_V2_KAMATA,2,TOKYU_V2,,
TOKYU_V2_HASUNUMA,TOKYU_V2_IKEGAMI,2,TOKYU_V2,,
TOKYU_V2_HATANODAI,TOKYU_V2_KITASENZOKU,2,TOKYU_V2,,
TOKYU_V2_HATANODAI,TOKYU_V2_EBARAMACHI,2,TOKYU_V2,,
TOKYU_V2_HATANODAI,TOKYU_V2_NAGAHARA,2,TOKYU_V2,,
TOKYU_V2_HATANODAI,TOKYU_V2_EBARANAKANOBU,1,TOKYU_V2,,
TOKYU_V2_HIGASHIHAKURAKU,TOKYU_V2_TANMACHI,2,TOKYU_V2,,
TOKYU_V2_HIGASHIHAKURAKU,TOKYU_V2_HAKURAKU,2,TOKYU_V2,,
TOKYU_V2_HIYOSHI,TOKYU_V2_TSUNASHIMA,2,TOKYU_V2,,
TOKYU_V2_HIYOSHI,TOKYU_V2_MOTOSUMIYOSHI,2,TOKYU_V2,,
TOKYU_V2_HIYOSHI,TOKYU_V2_SHINTSUNASHIMA,3,TOKYU_V2,,
TOKYU_V2_ICHIGAO,TOKYU_V2_FUJIGAOKA,2,TOKYU_V2,,
TOKYU_V2_ICHIGAO,TOKYU_V2_EDA,2,TOKYU_V2,,
TOKYU_V2_IKEGAMI,TOKYU_V2_HASUNUMA,2,TOKYU_V2,,
TOKYU_V2_IKEGAMI,TOKYU_V2_CHIDORICHO,2,TOKYU_V2,,
TOKYU_V2_IKEJIRIOHASHI,TOKYU_V2_SANGENJAYA,3,TOKYU_V2,,
TOKYU_V2_IKEJIRIOHASHI,TOKYU_V2_SHIBUYA,3,TOKYU_V2,,
TOKYU_V2_ISHIKAWADAI,TOKYU_V2_YUKIGAYAOTSUKA,2,TOKYU_V2,,
TOKYU_V2_ISHIKAWADAI,TOKYU_V2_SENZOKUIKE,1,TOKYU_V2,,
TOKYU_V2_JIYUGAOKA,TOKYU_V2_DENENCHOFU,2,TOKYU_V2,,
TOKYU_V2_JIYUGAOKA,TOKYU_V2_TORITSUDAIGAKU,2,TOKYU_V2,,
TOKYU_V2_JIYUGAOKA,TOKYU_V2_KUHONBUTSU,2,TOKYU_V2,,
TOKYU_V2_JIYUGAOKA,TOKYU_V2_MIDORIGAOKA,2,TOKYU_V2,,
TOKYU_V2_KAJIGAYA,TOKYU_V2_MIYAZAKIDAI,2,TOKYU_V2,,
TOKYU_V2_KAJIGAYA,TOKYU_V2_MIZONOKUCHI,2,TOKYU_V2,,
TOKYU_V2_KAMATA,TOKYU_V2_YAGUCHINOWATASHI,2,TOKYU_V2,,
TOKYU_V2_KAMATA,TOKYU_V2_HASUNUMA,2,TOKYU_V2,,
TOKYU_V2_KAMINOGE,TOKYU_V2_FUTAKOTAMAGAWA,2,TOKYU_V2,,
TOKYU_V2_KAMINOGE,TOKYU_V2_TODOROKI,2,TOKYU_V2,,
TOKYU_V2_KIKUNA,TOKYU_V2_MYORENJI,2,TOKYU_V2,,
TOKYU_V2_KIKUNA,TOKYU_V2_OKURAYAMA,2,TOKYU_V2,,
TOKYU_V2_KITASENZOKU,TOKYU_V2_OOKAYAMA,2,TOKYU_V2,,
TOKYU_V2_KITASENZOKU,TOKYU_V2_HATANODAI,2,TOKYU_V2,,
TOKYU_V2_KOMAZAWADAIGAKU,TOKYU_V2_SAKURASHINMACHI,3,TOKYU_V2,,
TOKYU_V2_KOMAZAWADAIGAKU,TOKYU_V2_SANGENJAYA,2,TOKYU_V2,,
TOKYU_V2_KUGAHARA,TOKYU_V2_CHIDORICHO,1,TOKYU_V2,,
TOKYU_V2_KUGAHARA,TOKYU_V2_ONTAKESAN,2,TOKYU_V2,,
TOKYU_V2_KUHONBUTSU,TOKYU_V2_OYAMADAI,2,TOKYU_V2,,
TOKYU_V2_KUHONBUTSU,TOKYU_V2_JIYUGAOKA,2,TOKYU_V2,,
TOKYU_V2_MEGURO,TOKYU_V2_FUDOMAE,2,TOKYU_V2,,
TOKYU_V2_MIDORIGAOKA,TOKYU_V2_JIYUGAOKA,2,TOKYU_V2,,
TOKYU_V2_MIDORIGAOKA,TOKYU_V2_OOKAYAMA,1,TOKYU_V2,,
TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,TOKYU_V2_TSUKIMINO,1,TOKYU_V2,,
TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,TOKYU_V2_SUZUKAKEDAI,2,TOKYU_V2,,
TOKYU_V2_MINATOMIRAI,TOKYU_V2_BASHAMICHI,2,TOKYU_V2,,
TOKYU_V2_MINATOMIRAI,TOKYU_V2_SHINTAKASHIMA,2,TOKYU_V2,,
TOKYU_V2_MIYAMAEDAIRA,TOKYU_V2_SAGINUMA,2,TOKYU_V2,,
TOKYU_V2_MIYAMAEDAIRA,TOKYU_V2_MIYAZAKIDAI,2,TOKYU_V2,,
TOKYU_V2_MIYAZAKIDAI,TOKYU_V2_MIYAMAEDAIRA,2,TOKYU_V2,,
TOKYU_V2_MIYAZAKIDAI,TOKYU_V2_KAJIGAYA,2,TOKYU_V2,,
TOKYU_V2_MIZONOKUCHI,TOKYU_V2_KAJIGAYA,2,TOKYU_V2,,
TOKYU_V2_MIZONOKUCHI,TOKYU_V2_TAKATSU,2,TOKYU_V2,,
TOKYU_V2_MOTOMACHICHUKAGAI,TOKYU_V2_NIHONODORI,2,TOKYU_V2,,
TOKYU_V2_MOTOSUMIYOSHI,TOKYU_V2_HIYOSHI,2,TOKYU_V2,,
TOKYU_V2_MOTOSUMIYOSHI,TOKYU_V2_MUSASHIKOSUGI,1,TOKYU_V2,,
TOKYU_V2_MUSASHIKOSUGI,TOKYU_V2_MOTOSUMIYOSHI,1,TOKYU_V2,,
TOKYU_V2_MUSASHIKOSUGI,TOKYU_V2_SHINMARUKO,1,TOKYU_V2,,
TOKYU_V2_MUSASHIKOYAMA,TOKYU_V2_NISHIKOYAMA,2,TOKYU_V2,,
TOKYU_V2_MUSASHIKOYAMA,TOKYU_V2_FUDOMAE,1,TOKYU_V2,,
TOKYU_V2_MUSASHINITTA,TOKYU_V2_SHIMOMARUKO,2,TOKYU_V2,,
TOKYU_V2_MUSASHINITTA,TOKYU_V2_YAGUCHINOWATASHI,2,TOKYU_V2,,
TOKYU_V2_MYORENJI,TOKYU_V2_HAKURAKU,2,TOKYU_V2,,
TOKYU_V2_MYORENJI,TOKYU_V2_KIKUNA,2,TOKYU_V2,,
TOKYU_V2_NAGAHARA,TOKYU_V2_SENZOKUIKE,2,TOKYU_V2,,
TOKYU_V2_NAGAHARA,TOKYU_V2_HATANODAI,2,TOKYU_V2,,
TOKYU_V2_NAGATSUTA,TOKYU_V2_TSUKUSHINO,3,TOKYU_V2,,
TOKYU_V2_NAGATSUTA,TOKYU_V2_TANA,2,TOKYU_V2,,
TOKYU_V2_NAKAMEGURO,TOKYU_V2_YUTENJI,2,TOKYU_V2,,
TOKYU_V2_NAKAMEGURO,TOKYU_V2_DAIKANYAMA,2,TOKYU_V2,,
TOKYU_V2_NAKANOBU,TOKYU_V2_EBARAMACHI,1,TOKYU_V2,,
TOKYU_V2_NAKANOBU,TOKYU_V2_TOGOSHIKOEN,2,TOKYU_V2,,
TOKYU_V2_NIHONODORI,TOKYU_V2_MOTOMACHICHUKAGAI,2,TOKYU_V2,,
TOKYU_V2_NIHONODORI,TOKYU_V2_BASHAMICHI,2,TOKYU_V2,,
TOKYU_V2_NISHIKOYAMA,TOKYU_V2_SENZOKU,2,TOKYU_V2,,
TOKYU_V2_NISHIKOYAMA,TOKYU_V2_MUSASHIKOYAMA,2,TOKYU_V2,,
TOKYU_V2_NUMABE,TOKYU_V2_TAMAGAWA,2,TOKYU_V2,,
TOKYU_V2_NUMABE,TOKYU_V2_UNOKI,2,TOKYU_V2,,
TOKYU_V2_OIMACHI,TOKYU_V2_SHIMOSHINMEI,3,TOKYU_V2,,
TOKYU_V2_OKURAYAMA,TOKYU_V2_KIKUNA,2,TOKYU_V2,,
TOKYU_V2_OKURAYAMA,TOKYU_V2_TSUNASHIMA,2,TOKYU_V2,,
TOKYU_V2_OKUSAWA,TOKYU_V2_DENENCHOFU,2,TOKYU_V2,,
TOKYU_V2_OKUSAWA,TOKYU_V2_OOKAYAMA,2,TOKYU_V2,,
TOKYU_V2_ONTAKESAN,TOKYU_V2_KUGAHARA,2,TOKYU_V2,,
TOKYU_V2_ONTAKESAN,TOKYU_V2_YUKIGAYAOTSUKA,1,TOKYU_V2,,
TOKYU_V2_OOKAYAMA,TOKYU_V2_MIDORIGAOKA,1,TOKYU_V2,,
TOKYU_V2_OOKAYAMA,TOKYU_V2_KITASENZOKU,2,TOKYU_V2,,
TOKYU_V2_OOKAYAMA,TOKYU_V2_OKUSAWA,2,TOKYU_V2,,
TOKYU_V2_OOKAYAMA,TOKYU_V2_SENZOKU,2,TOKYU_V2,,
TOKYU_V2_OSAKIHIROKOJI,TOKYU_V2_TOGOSHIGINZA,2,TOKYU_V2,,
TOKYU_V2_OSAKIHIROKOJI,TOKYU_V2_GOTANDA,2,TOKYU_V2,,
TOKYU_V2_OYAMADAI,TOKYU_V2_TODOROKI,2,TOKYU_V2,,
TOKYU_V2_OYAMADAI,TOKYU_V2_KUHONBUTSU,2,TOKYU_V2,,
TOKYU_V2_SAGINUMA,TOKYU_V2_TAMAPLAZA,2,TOKYU_V2,,
TOKYU_V2_SAGINUMA,TOKYU_V2_MIYAMAEDAIRA,2,TOKYU_V2,,
TOKYU_V2_SAKURASHINMACHI,TOKYU_V2_YOGA,2,TOKYU_V2,,
TOKYU_V2_SAKURASHINMACHI,TOKYU_V2_KOMAZAWADAIGAKU,3,TOKYU_V2,,
TOKYU_V2_SANGENJAYA,TOKYU_V2_KOMAZAWADAIGAKU,2,TOKYU_V2,,
TOKYU_V2_SANGENJAYA,TOKYU_V2_IKEJIRIOHASHI,3,TOKYU_V2,,
TOKYU_V2_SENZOKU,TOKYU_V2_OOKAYAMA,2,TOKYU_V2,,
TOKYU_V2_SENZOKU,TOKYU_V2_NISHIKOYAMA,2,TOKYU_V2,,
TOKYU_V2_SENZOKUIKE,TOKYU_V2_ISHIKAWADAI,1,TOKYU_V2,,
TOKYU_V2_SENZOKUIKE,TOKYU_V2_NAGAHARA,2,TOKYU_V2,,
TOKYU_V2_SHIBUYA,TOKYU_V2_DAIKANYAMA,2,TOKYU_V2,,
TOKYU_V2_SHIBUYA,TOKYU_V2_IKEJIRIOHASHI,3,TOKYU_V2,,
TOKYU_V2_SHIMOMARUKO,TOKYU_V2_UNOKI,2,TOKYU_V2,,
TOKYU_V2_SHIMOMARUKO,TOKYU_V2_MUSASHINITTA,2,TOKYU_V2,,
TOKYU_V2_SHIMOSHINMEI,TOKYU_V2_TOGOSHIKOEN,2,TOKYU_V2,,
TOKYU_V2_SHIMOSHINMEI,TOKYU_V2_OIMACHI,3,TOKYU_V2,,
TOKYU_V2_SHINMARUKO,TOKYU_V2_MUSASHIKOSUGI,1,TOKYU_V2,,
TOKYU_V2_SHINMARUKO,TOKYU_V2_TAMAGAWA,2,TOKYU_V2,,
TOKYU_V2_SHINTAKASHIMA,TOKYU_V2_MINATOMIRAI,2,TOKYU_V2,,
TOKYU_V2_SHINTAKASHIMA,TOKYU_V2_YOKOHAMA,2,TOKYU_V2,,
TOKYU_V2_SHINTSUNASHIMA,TOKYU_V2_HIYOSHI,3,TOKYU_V2,,
TOKYU_V2_SHINTSUNASHIMA,TOKYU_V2_SHINYOKOHAMA,4,TOKYU_V2,,
TOKYU_V2_SHINYOKOHAMA,TOKYU_V2_SHINTSUNASHIMA,4,TOKYU_V2,,
TOKYU_V2_SUZUKAKEDAI,TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,2,TOKYU_V2,,
TOKYU_V2_SUZUKAKEDAI,TOKYU_V2_TSUKUSHINO,2,TOKYU_V2,,
TOKYU_V2_TAKATSU,TOKYU_V2_MIZONOKUCHI,2,TOKYU_V2,,
TOKYU_V2_TAKATSU,TOKYU_V2_FUTAKOSHINCHI,1,TOKYU_V2,,
TOKYU_V2_TAMAGAWA,TOKYU_V2_SHINMARUKO,2,TOKYU_V2,,
TOKYU_V2_TAMAGAWA,TOKYU_V2_DENENCHOFU,2,TOKYU_V2,,
TOKYU_V2_TAMAGAWA,TOKYU_V2_NUMABE,2,TOKYU_V2,,
TOKYU_V2_TAMAPLAZA,TOKYU_V2_AZAMINO,1,TOKYU_V2,,
TOKYU_V2_TAMAPLAZA,TOKYU_V2_SAGINUMA,2,TOKYU_V2,,
TOKYU_V2_TANA,TOKYU_V2_NAGATSUTA,2,TOKYU_V2,,
TOKYU_V2_TANA,TOKYU_V2_AOBADAI,2,TOKYU_V2,,
TOKYU_V2_TANMACHI,TOKYU_V2_YOKOHAMA,1,TOKYU_V2,,
TOKYU_V2_TANMACHI,TOKYU_V2_HIGASHIHAKURAKU,2,TOKYU_V2,,
TOKYU_V2_TODOROKI,TOKYU_V2_KAMINOGE,2,TOKYU_V2,,
TOKYU_V2_TODOROKI,TOKYU_V2_OYAMADAI,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIGINZA,TOKYU_V2_EBARANAKANOBU,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIGINZA,TOKYU_V2_OSAKIHIROKOJI,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIKOEN,TOKYU_V2_NAKANOBU,2,TOKYU_V2,,
TOKYU_V2_TOGOSHIKOEN,TOKYU_V2_SHIMOSHINMEI,2,TOKYU_V2,,
TOKYU_V2_TORITSUDAIGAKU,TOKYU_V2_JIYUGAOKA,2,TOKYU_V2,,
TOKYU_V2_TORITSUDAIGAKU,TOKYU_V2_GAKUGEIDAIGAKU,2,TOKYU_V2,,
TOKYU_V2_TSUKIMINO,TOKYU_V2_CHUORINKAN,2,TOKYU_V2,,
TOKYU_V2_TSUKIMINO,TOKYU_V2_MINAMIMACHIDAGRANBERRYPARK,1,TOKYU_V2,,
TOKYU_V2_TSUKUSHINO,TOKYU_V2_SUZUKAKEDAI,2,TOKYU_V2,,
TOKYU_V2_TSUKUSHINO,TOKYU_V2_NAGATSUTA,3,TOKYU_V2,,
TOKYU_V2_TSUNASHIMA,TOKYU_V2_OKURAYAMA,2,TOKYU_V2,,
TOKYU_V2_TSUNASHIMA,TOKYU_V2_HIYOSHI,2,TOKYU_V2,,
TOKYU_V2_UNOKI,TOKYU_V2_NUMABE,2,TOKYU_V2,,
TOKYU_V2_UNOKI,TOKYU_V2_SHIMOMARUKO,2,TOKYU_V2,,
TOKYU_V2_YAGUCHINOWATASHI,TOKYU_V2_MUSASHINITTA,2,TOKYU_V2,,
TOKYU_V2_YAGUCHINOWATASHI,TOKYU_V2_KAMATA,2,TOKYU_V2,,
TOKYU_V2_YOGA,TOKYU_V2_FUTAKOTAMAGAWA,3,TOKYU_V2,,
TOKYU_V2_YOGA,TOKYU_V2_SAKURASHINMACHI,2,TOKYU_V2,,
TOKYU_V2_YOKOHAMA,TOKYU_V2_SHINTAKASHIMA,2,TOKYU_V2,,
TOKYU_V2_YOKOHAMA,TOKYU_V2_TANMACHI,1,TOKYU_V2,,
TOKYU_V2_YUKIGAYAOTSUKA,TOKYU_V2_ONTAKESAN,1,TOKYU_V2,,
TOKYU_V2_YUKIGAYAOTSUKA,TOKYU_V2_ISHIKAWADAI,2,TOKYU_V2,,
TOKYU_V2_YUTENJI,TOKYU_V2_GAKUGEIDAIGAKU,2,TOKYU_V2,,
TOKYU_V2_YUTENJI,TOKYU_V2_NAKAMEGURO,2,TOKYU_V2,,