from_station_code,to_station_code,time_minutes,created_at,updated_at,event_type_code
AOBADAI,TANA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
AOBADAI,FUJIGAOKA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
AZAMINO,EDA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
AZAMINO,TAMAPLAZA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
BASHAMICHI,NIHONODORI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
BASHAMICHI,MINATOMIRAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
CHIDORICHO,IKEGAMI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
CHIDORICHO,KUGAHARA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
CHUORINKAN,TSUKIMINO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DAIKANYAMA,NAKAMEGURO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DAIKANYAMA,SHIBUYA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DENENCHOFU,TAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DENENCHOFU,JIYUGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DENENCHOFU,OKUSAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARAMACHI,HATANODAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARAMACHI,NAKANOBU,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARANAKANOBU,HATANODAI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARANAKANOBU,TOGOSHIGINZA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EDA,ICHIGAO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EDA,AZAMINO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUDOMAE,MUSASHIKOYAMA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUDOMAE,MEGURO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUJIGAOKA,AOBADAI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUJIGAOKA,ICHIGAO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOSHINCHI,TAKATSU,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOSHINCHI,FUTAKOTAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOTAMAGAWA,FUTAKOSHINCHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOTAMAGAWA,YOGA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOTAMAGAWA,KAMINOGE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
GAKUGEIDAIGAKU,TORITSUDAIGAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
GAKUGEIDAIGAKU,YUTENJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
GOTANDA,OSAKIHIROKOJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HAKURAKU,HIGASHIHAKURAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HAKURAKU,MYORENJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HASUNUMA,KAMATA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HASUNUMA,IKEGAMI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,KITASENZOKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,EBARAMACHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,NAGAHARA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,EBARANAKANOBU,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIGASHIHAKURAKU,TANMACHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIGASHIHAKURAKU,HAKURAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIYOSHI,TSUNASHIMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIYOSHI,MOTOSUMIYOSHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIYOSHI,SHINTSUNASHIMA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ICHIGAO,FUJIGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ICHIGAO,EDA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
IKEGAMI,HASUNUMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
IKEGAMI,CHIDORICHO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
IKEJIRIOHASHI,SANGENJAYA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
IKEJIRIOHASHI,SHIBUYA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ISHIKAWADAI,YUKIGAYAOTSUKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ISHIKAWADAI,SENZOKUIKE,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
JIYUGAOKA,DENENCHOFU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
JIYUGAOKA,TORITSUDAIGAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
JIYUGAOKA,KUHONBUTSU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
JIYUGAOKA,MIDORIGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KAJIGAYA,MIYAZAKIDAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KAJIGAYA,MIZONOKUCHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KAMATA,YAGUCHINOWATASHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KAMATA,HASUNUMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KAMINOGE,FUTAKOTAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KAMINOGE,TODOROKI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KIKUNA,MYORENJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KIKUNA,OKURAYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KITASENZOKU,OOKAYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KITASENZOKU,HATANODAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KOMAZAWADAIGAKU,SAKURASHINMACHI,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KOMAZAWADAIGAKU,SANGENJAYA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KUGAHARA,CHIDORICHO,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KUGAHARA,ONTAKESAN,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KUHONBUTSU,OYAMADAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
KUHONBUTSU,JIYUGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MEGURO,FUDOMAE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIDORIGAOKA,JIYUGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIDORIGAOKA,OOKAYAMA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MINAMIMACHIDAGRANBERRYPARK,TSUKIMINO,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MINAMIMACHIDAGRANBERRYPARK,SUZUKAKEDAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MINATOMIRAI,BASHAMICHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MINATOMIRAI,SHINTAKASHIMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIYAMAEDAIRA,SAGINUMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIYAMAEDAIRA,MIYAZAKIDAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIYAZAKIDAI,MIYAMAEDAIRA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIYAZAKIDAI,KAJIGAYA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIZONOKUCHI,KAJIGAYA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MIZONOKUCHI,TAKATSU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MOTOMACHICHUKAGAI,NIHONODORI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MOTOSUMIYOSHI,HIYOSHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MOTOSUMIYOSHI,MUSASHIKOSUGI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MUSASHIKOSUGI,MOTOSUMIYOSHI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MUSASHIKOSUGI,SHINMARUKO,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MUSASHIKOYAMA,NISHIKOYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MUSASHIKOYAMA,FUDOMAE,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MUSASHINITTA,SHIMOMARUKO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MUSASHINITTA,YAGUCHINOWATASHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MYORENJI,HAKURAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
MYORENJI,KIKUNA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAGAHARA,SENZOKUIKE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAGAHARA,HATANODAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAGATSUTA,TSUKUSHINO,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAGATSUTA,TANA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAKAMEGURO,YUTENJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAKAMEGURO,DAIKANYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAKANOBU,EBARAMACHI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NAKANOBU,TOGOSHIKOEN,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NIHONODORI,MOTOMACHICHUKAGAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NIHONODORI,BASHAMICHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NISHIKOYAMA,SENZOKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NISHIKOYAMA,MUSASHIKOYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NUMABE,TAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
NUMABE,UNOKI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OIMACHI,SHIMOSHINMEI,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OKURAYAMA,KIKUNA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OKURAYAMA,TSUNASHIMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OKUSAWA,DENENCHOFU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OKUSAWA,OOKAYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ONTAKESAN,KUGAHARA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ONTAKESAN,YUKIGAYAOTSUKA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OOKAYAMA,MIDORIGAOKA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OOKAYAMA,KITASENZOKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OOKAYAMA,OKUSAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OOKAYAMA,SENZOKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OSAKIHIROKOJI,TOGOSHIGINZA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OSAKIHIROKOJI,GOTANDA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OYAMADAI,TODOROKI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
OYAMADAI,KUHONBUTSU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SAGINUMA,TAMAPLAZA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SAGINUMA,MIYAMAEDAIRA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SAKURASHINMACHI,YOGA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SAKURASHINMACHI,KOMAZAWADAIGAKU,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SANGENJAYA,KOMAZAWADAIGAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SANGENJAYA,IKEJIRIOHASHI,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SENZOKU,OOKAYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SENZOKU,NISHIKOYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SENZOKUIKE,ISHIKAWADAI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SENZOKUIKE,NAGAHARA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHIBUYA,DAIKANYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHIBUYA,IKEJIRIOHASHI,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHIMOMARUKO,UNOKI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHIMOMARUKO,MUSASHINITTA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHIMOSHINMEI,TOGOSHIKOEN,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHIMOSHINMEI,OIMACHI,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINMARUKO,MUSASHIKOSUGI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINMARUKO,TAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINTAKASHIMA,MINATOMIRAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINTAKASHIMA,YOKOHAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINTSUNASHIMA,HIYOSHI,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINTSUNASHIMA,SHINYOKOHAMA,4,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SHINYOKOHAMA,SHINTSUNASHIMA,4,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SUZUKAKEDAI,MINAMIMACHIDAGRANBERRYPARK,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
SUZUKAKEDAI,TSUKUSHINO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAKATSU,MIZONOKUCHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAKATSU,FUTAKOSHINCHI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAMAGAWA,SHINMARUKO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAMAGAWA,DENENCHOFU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAMAGAWA,NUMABE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAMAPLAZA,AZAMINO,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TAMAPLAZA,SAGINUMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TANA,NAGATSUTA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TANA,AOBADAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TANMACHI,YOKOHAMA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TANMACHI,HIGASHIHAKURAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TODOROKI,KAMINOGE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TODOROKI,OYAMADAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TOGOSHIGINZA,EBARANAKANOBU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TOGOSHIGINZA,OSAKIHIROKOJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TOGOSHIKOEN,NAKANOBU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TOGOSHIKOEN,SHIMOSHINMEI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TORITSUDAIGAKU,JIYUGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TORITSUDAIGAKU,GAKUGEIDAIGAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TSUKIMINO,CHUORINKAN,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TSUKIMINO,MINAMIMACHIDAGRANBERRYPARK,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TSUKUSHINO,SUZUKAKEDAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TSUKUSHINO,NAGATSUTA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TSUNASHIMA,OKURAYAMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
TSUNASHIMA,HIYOSHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
UNOKI,NUMABE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
UNOKI,SHIMOMARUKO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YAGUCHINOWATASHI,MUSASHINITTA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YAGUCHINOWATASHI,KAMATA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YOGA,FUTAKOTAMAGAWA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YOGA,SAKURASHINMACHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YOKOHAMA,SHINTAKASHIMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YOKOHAMA,TANMACHI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YUKIGAYAOTSUKA,ONTAKESAN,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YUKIGAYAOTSUKA,ISHIKAWADAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YUTENJI,GAKUGEIDAIGAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
YUTENJI,NAKAMEGURO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DUMMY_STATION,DUMMY_NEARBY_STATION,2,2025-07-25 00:00:00.000,2025-07-25 00:00:00.000,DUMMY
DUMMY_NEARBY_STATION,DUMMY_STATION,2,2025-07-25 00:00:00.000,2025-07-25 00:00:00.000,DUMMY