id,station_code,event_code,created_at,updated_at,team_code
1,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00,TEAM_A
2,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00,TEAM_B
3,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00,TEAM_C
4,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00,TEAM_D
5,OYAMADAI,TOKYU_20250517,2025-05-17 01:40:11.462+00,2025-05-17 01:40:11.462+00,TEAM_D
6,TODOROKI,TOKYU_20250517,2025-05-17 01:42:04.007+00,2025-05-17 01:42:04.007+00,TEAM_C
7,TODOROKI,TOKYU_20250517,2025-05-17 01:42:43.318+00,2025-05-17 01:42:43.318+00,TEAM_A
8,TODOROKI,TOKYU_20250517,2025-05-17 01:46:22.602+00,2025-05-17 01:46:22.602+00,TEAM_B
9,MIZONOKUCHI,TOKYU_20250517,2025-05-17 01:54:09.206+00,2025-05-17 01:54:09.206+00,TEAM_C
10,TAMAPLAZA,TOKYU_20250517,2025-05-17 02:02:51.125+00,2025-05-17 02:02:51.125+00,TEAM_A
11,TAMAPLAZA,TOKYU_20250517,2025-05-17 02:03:13.199+00,2025-05-17 02:03:13.199+00,TEAM_D
12,YOGA,TOKYU_20250517,2025-05-17 02:04:42.603+00,2025-05-17 02:04:42.603+00,TEAM_B
13,TODOROKI,TOKYU_20250517,2025-05-17 02:27:59.837+00,2025-05-17 02:27:59.837+00,TEAM_C
14,SHIBUYA,TOKYU_20250517,2025-05-17 02:36:33.728+00,2025-05-17 02:36:33.728+00,TEAM_B
15,OOKAYAMA,TOKYU_20250517,2025-05-17 02:38:30.222+00,2025-05-17 02:38:30.222+00,TEAM_C
16,OOKAYAMA,TOKYU_20250517,2025-05-17 02:45:49.348+00,2025-05-17 02:45:49.348+00,TEAM_D
17,MIZONOKUCHI,TOKYU_20250517,2025-05-17 03:00:32.117+00,2025-05-17 03:00:32.117+00,TEAM_A
18,MUSASHIKOYAMA,TOKYU_20250517,2025-05-17 03:03:28.821+00,2025-05-17 03:03:28.821+00,TEAM_D
19,MEGURO,TOKYU_20250517,2025-05-17 03:07:49.334+00,2025-05-17 03:07:49.334+00,TEAM_C
20,KAMINOGE,TOKYU_20250517,2025-05-17 03:49:39.724+00,2025-05-17 03:49:39.724+00,TEAM_A
21,YOKOHAMA,TOKYU_20250517,2025-05-17 03:50:29.153+00,2025-05-17 03:50:29.153+00,TEAM_C
22,OYAMADAI,TOKYU_20250517,2025-05-17 04:06:42.682+00,2025-05-17 04:06:42.682+00,TEAM_A
23,YOGA,TOKYU_20250517,2025-05-17 04:19:27.116+00,2025-05-17 04:19:27.116+00,TEAM_B
24,SHINMARUKO,TOKYU_20250517,2025-05-17 04:25:55.281+00,2025-05-17 04:25:55.281+00,TEAM_A
25,HIGASHIHAKURAKU,TOKYU_20250517,2025-05-17 04:26:41.568+00,2025-05-17 04:26:41.568+00,TEAM_C
26,MYORENJI,TOKYU_20250517,2025-05-17 04:37:29.895+00,2025-05-17 04:37:29.895+00,TEAM_C
27,TAMAGAWA,TOKYU_20250517,2025-05-17 04:38:28.993+00,2025-05-17 04:38:28.993+00,TEAM_D
28,FUTAKOTAMAGAWA,TOKYU_20250517,2025-05-17 04:39:06.296+00,2025-05-17 04:39:06.296+00,TEAM_B
29,OOKAYAMA,TOKYU_20250517,2025-05-17 04:51:40.369+00,2025-05-17 04:51:40.369+00,TEAM_D
30,OYAMADAI,TOKYU_20250517,2025-05-17 05:17:58.778+00,2025-05-17 05:17:58.778+00,TEAM_B
31,MOTOSUMIYOSHI,TOKYU_20250517,2025-05-17 05:29:09.743+00,2025-05-17 05:29:09.743+00,TEAM_A
32,OKURAYAMA,TOKYU_20250517,2025-05-17 05:43:59.135+00,2025-05-17 05:43:59.135+00,TEAM_C
33,HIYOSHI,TOKYU_20250517,2025-05-17 05:47:24.444+00,2025-05-17 05:47:24.444+00,TEAM_B
34,OYAMADAI,TOKYU_20250517,2025-05-17 06:07:18.213+00,2025-05-17 06:07:18.213+00,TEAM_D
35,KUHONBUTSU,TOKYU_20250517,2025-05-17 06:10:36.606+00,2025-05-17 06:10:36.606+00,TEAM_A
36,KUHONBUTSU,TOKYU_20250517,2025-05-17 06:11:22.962+00,2025-05-17 06:11:22.962+00,TEAM_A
37,TAKATSU,TOKYU_20250517,2025-05-17 06:28:44.858+00,2025-05-17 06:28:44.858+00,TEAM_A
38,MOTOSUMIYOSHI,TOKYU_20250517,2025-05-17 06:29:18.781+00,2025-05-17 06:29:18.781+00,TEAM_C
39,TAKATSU,TOKYU_20250517,2025-05-17 06:29:24.918+00,2025-05-17 06:29:24.918+00,TEAM_A
40,TAKATSU,TOKYU_20250517,2025-05-17 06:29:25.726+00,2025-05-17 06:29:25.726+00,TEAM_D
41,DENENCHOFU,TOKYU_20250517,2025-05-17 06:40:24.131+00,2025-05-17 06:40:24.131+00,TEAM_B
42,MIZONOKUCHI,TOKYU_20250517,2025-05-17 06:46:05.839+00,2025-05-17 06:46:05.839+00,TEAM_D
43,MIYAZAKIDAI,TOKYU_20250517,2025-05-17 07:01:17.545+00,2025-05-17 07:01:17.545+00,TEAM_A
44,NUMABE,TOKYU_20250517,2025-05-17 07:03:58.218+00,2025-05-17 07:03:58.218+00,TEAM_B
45,SHINTSUNASHIMA,TOKYU_20250517,2025-05-17 07:08:22.52+00,2025-05-17 07:08:22.52+00,TEAM_C
46,YOGA,TOKYU_20250517,2025-05-17 07:24:57.513+00,2025-05-17 07:24:57.513+00,TEAM_D
47,TAMAPLAZA,TOKYU_20250517,2025-05-17 07:29:33.473+00,2025-05-17 07:29:33.473+00,TEAM_A
48,SHINYOKOHAMA,TOKYU_20250517,2025-05-17 07:42:46.701+00,2025-05-17 07:42:46.701+00,TEAM_C
49,TAMAGAWA,TOKYU_20250517,2025-05-17 07:52:18.748+00,2025-05-17 07:52:18.748+00,TEAM_B
50,TANA,TOKYU_20250517,2025-05-17 07:54:47.552+00,2025-05-17 07:54:47.552+00,TEAM_A
51,SAKURASHINMACHI,TOKYU_20250517,2025-05-17 08:02:41.313+00,2025-05-17 08:02:41.313+00,TEAM_D
52,OOKAYAMA,TOKYU_20250517,2025-05-17 08:09:50.913+00,2025-05-17 08:09:50.913+00,TEAM_B
53,SUZUKAKEDAI,TOKYU_20250517,2025-05-17 08:13:13.273+00,2025-05-17 08:13:13.273+00,TEAM_A
54,SHIBUYA,TOKYU_20250517,2025-05-17 08:17:01.616+00,2025-05-17 08:17:01.616+00,TEAM_D
55,TAMAGAWA,TOKYU_20250517,2025-05-17 08:40:40.443+00,2025-05-17 08:40:40.443+00,TEAM_C
56,YUTENJI,TOKYU_20250517,2025-05-17 08:42:57.704+00,2025-05-17 08:42:57.704+00,TEAM_D
57,TSUKIMINO,TOKYU_20250517,2025-05-17 08:46:07.541+00,2025-05-17 08:46:07.541+00,TEAM_A
58,HIYOSHI,TOKYU_20250517,2025-05-17 09:05:22.928+00,2025-05-17 09:05:22.928+00,TEAM_C
59,HIYOSHI,TOKYU_20250517,2025-05-17 09:07:56.468+00,2025-05-17 09:07:56.468+00,TEAM_B
61,DUMMY_STATION,DUMMY_20250725,2025-07-24 15:00:00.000+00,2025-07-24 15:00:00.000+00,DUMMY_TEAM
77,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,1970-11-15 01:00:00.000+00,1970-11-15 01:00:00.000+00,TOKYU_V2_20251115_TEAM_A
78,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,1970-11-15 01:00:00.000+00,1970-11-15 01:00:00.000+00,TOKYU_V2_20251115_TEAM_B
79,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,1970-11-15 01:00:00.000+00,1970-11-15 01:00:00.000+00,TOKYU_V2_20251115_TEAM_C
80,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,1970-11-15 01:00:00.000+00,1970-11-15 01:00:00.000+00,TOKYU_V2_20251115_TEAM_D
85,TOKYU_V2_JIYUGAOKA,TOKYU_V2_TESTPLAY_20251018,1970-10-18 01:00:00.000+00,1970-10-18 01:00:00.000+00,TOKYU_V2_TESTPLAY_20251018_TEAM_A
86,TOKYU_V2_JIYUGAOKA,TOKYU_V2_TESTPLAY_20251018,1970-10-18 01:00:00.000+00,1970-10-18 01:00:00.000+00,TOKYU_V2_TESTPLAY_20251018_TEAM_B
87,TOKYU_V2_JIYUGAOKA,TOKYU_V2_TESTPLAY_20251018,1970-10-18 01:00:00.000+00,1970-10-18 01:00:00.000+00,TOKYU_V2_TESTPLAY_20251018_TEAM_C
88,TOKYU_V2_JIYUGAOKA,TOKYU_V2_TESTPLAY_20251018,1970-10-18 01:00:00.000+00,1970-10-18 01:00:00.000+00,TOKYU_V2_TESTPLAY_20251018_TEAM_D